market,funding_rounds,founded_month,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,age_first_funding,status_binary
Analytics ,1.0,4.0,2000.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.616438356164384,1
Software ,1.0,1.0,2001.0,0.0,1770000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770000.0,0.0,0.0,0.0,0.0,0.0,4.854794520547945,1
Advertising ,1.0,12.0,2007.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Other,1.0,1.0,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7506849315068493,1
Finance ,7.0,8.0,2008.0,18000.0,150000.0,0.0,0.0,0.0,235000.0,0.0,54282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Security ,3.0,3.0,2007.0,0.0,7131124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,2431124.0,0.0,0.0,0.0,0.0,1.2602739726027397,1
Health Care ,3.0,1.0,2002.0,0.0,13793098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.172602739726027,1
Security ,4.0,1.0,2002.0,0.0,8198838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.501369863013698,1
Other,1.0,1.0,2000.0,0.0,4880000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.413698630136986,0
Other,1.0,1.0,2013.0,0.0,7300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7300000.0,0.0,0.0,0.0,0.0,0.0,0.42191780821917807,1
Software ,1.0,1.0,2002.0,0.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.465753424657534,1
Curated Web ,1.0,1.0,2012.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0191780821917809,1
Enterprise Software ,4.0,10.0,2008.0,0.0,15000000.0,0.0,0.0,0.0,1400000.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0,1.0904109589041096,0
Mobile ,3.0,11.0,2005.0,600000.0,17000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,12000000.0,0.0,0.0,0.0,0.0,0.0,1
Other,1.0,3.0,2010.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mobile ,1.0,4.0,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Advertising ,1.0,1.0,2001.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,4.446575342465754,1
Biotechnology ,2.0,1.0,2009.0,0.0,10350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4550000.0,5800000.0,0.0,0.0,0.0,0.0,1.2301369863013698,0
